accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
134556694,13,5,0,3,22,2,17421,15227,1
132851371,10,109,9,1,217,2,27530,38887,1
106573901,14,49,6,2,140,2,27186,28735,1
92423451,14,97,3,3,54,2,19658,16432,1
159020918,9,19,5,1,40,2,17808,14023,1
87278757,4,75,1,3,9,2,8087,8388,0
121769650,4,12,3,3,234,2,27960,26498,0
89117038,15,7,2,1,12,2,13421,9893,0
73562326,6,36,5,1,25,2,17851,18239,0
116585378,6,98,6,2,60,2,22755,21551,0
87278757,10,30,5,3,0,2,15827,13819,0
121769650,6,10,5,2,168,2,24099,26729,0
89117038,17,107,6,2,5,2,19557,12527,0
73562326,9,108,5,1,10,2,25534,21134,0
116585378,13,114,10,3,38,2,22378,18935,0
134556694,13,26,2,3,33,2,17548,14870,1
132851371,12,109,8,1,194,2,30698,42891,1
106573901,11,76,10,2,143,2,27542,26729,1
92423451,18,27,3,3,93,2,22952,20704,1
159020918,15,19,7,1,61,2,20465,18122,1
134556694,4,2,1,2,57,2,11731,11210,0
132851371,4,109,3,1,168,2,25070,28285,0
106573901,5,52,5,2,90,2,21333,18596,0
92423451,8,78,2,3,84,2,20073,15120,0
159020918,5,110,4,3,43,2,18466,15946,0
87278757,13,30,3,1,5,2,16554,12861,1
121769650,11,12,7,1,209,2,28155,26547,1
89117038,16,86,8,1,19,2,22941,17553,1
73562326,13,114,10,3,26,2,27025,19509,1
116585378,24,22,5,2,20,2,27286,20421,1
87278757,11,83,3,3,6,2,14584,10417,1
121769650,20,113,1,3,161,2,19873,26003,1
89117038,10,63,18,1,15,2,30570,18150,1
73562326,22,96,4,1,54,2,23479,17308,1
116585378,8,61,9,2,134,2,27125,23479,1
134556694,15,110,2,1,42,2,15265,14904,0
132851371,7,93,6,3,110,2,22397,18951,0
106573901,13,74,2,1,32,2,20874,16627,0
92423451,4,19,8,2,46,2,25322,21475,0
159020918,9,33,2,3,74,2,13141,14824,0
87278757,4,50,2,3,4,2,8823,8686,0
89117038,4,86,4,2,10,2,11570,9304,0
73562326,5,19,4,1,4,2,11639,11330,0
121769650,2,109,1,3,214,2,16068,17716,0
116585378,7,27,2,2,44,2,16789,15930,0
134556694,19,96,10,1,20,2,18231,13561,1
132851371,21,78,8,3,90,2,25853,19261,1
106573901,17,17,8,2,80,2,24308,17990,1
92423451,25,110,7,1,28,2,22385,18368,1
159020918,21,33,4,3,111,2,19570,17304,1
134556694,17,112,2,1,16,2,19625,14943,1
132851371,25,67,11,1,59,2,29804,24592,1
106573901,16,114,18,2,54,2,27768,23045,1
92423451,18,78,10,3,120,2,26547,23167,1
159020918,20,86,4,2,28,2,18566,13721,1
111620041,5,106,5,1,67,2,19218,16001,0
86745912,3,8,3,3,142,2,26221,21620,0
94155156,9,3,1,3,4,2,9242,8265,0
41231571,6,33,2,2,49,2,14250,14658,0
25907144,5,23,5,1,4,2,14047,10301,0
134556694,20,3,1,1,1,2,11810,8897,1
132851371,24,67,15,1,109,2,31920,26453,1
106573901,19,74,14,2,59,2,27052,22982,1
92423451,15,36,12,3,44,2,23940,20708,1
159020918,27,96,2,3,60,2,19750,15561,1
111620041,6,52,4,2,85,2,15999,15800,0
86745912,3,109,6,3,113,2,21984,26453,0
94155156,7,79,1,1,0,2,7541,7142,0
41231571,12,78,2,1,27,2,19431,12169,0
25907144,7,2,5,3,14,2,11052,9177,0
134556694,12,84,2,1,3,2,14962,11980,0
132851371,6,109,7,1,212,2,29976,41400,0
106573901,6,74,9,2,51,2,26842,24617,0
92423451,10,110,4,3,52,2,20725,20422,0
159020918,9,7,1,3,37,2,13699,11272,0
87278757,14,75,2,3,11,2,22949,15114,1
89117038,23,86,2,1,16,2,21837,16277,1
121769650,11,113,12,3,312,2,34424,48932,1
73562326,14,96,8,1,69,2,27448,23707,1
116585378,16,106,8,2,52,2,30936,27903,1
134556694,10,50,1,1,19,2,6165,5823,1
132851371,8,10,11,1,17,2,15903,14728,1
106573901,12,45,8,2,18,2,13652,12233,1
92423451,8,110,4,3,39,2,11058,11181,1
159020918,10,96,2,3,17,2,9639,7829,1
87278757,8,84,1,3,3,2,4404,4355,0
89117038,3,86,4,2,2,2,6214,5040,0
121769650,3,113,5,3,89,2,10838,12942,0
73562326,2,120,0,1,0,2,6899,6459,0
116585378,1,76,1,2,16,2,10055,8587,0
87278757,12,30,3,1,11,2,11774,9574,1
89117038,11,7,5,2,1,2,11150,7671,1
121769650,7,10,4,2,89,2,18048,16234,1
73562326,12,96,3,3,16,2,13826,12636,1
116585378,12,114,8,1,11,2,14866,13201,1
134556694,1,2,3,1,29,2,9306,7730,0
132851371,3,12,4,3,138,2,13171,14896,0
106573901,3,25,2,2,73,2,12458,11358,0
92423451,3,19,1,1,35,2,10674,9574,0
159020918,3,91,0,3,25,2,9217,5530,0
134556694,16,50,1,1,2,2,9512,7790,1
132851371,12,93,6,1,56,2,16782,15006,1
106573901,15,49,9,2,49,2,17630,15470,1
92423451,8,2,10,5,46,2,18231,13174,1
159020918,13,110,2,3,30,2,8938,8664,1
86727555,6,85,0,2,4,2,6860,4455,0
97590558,3,6,3,2,120,2,11726,10687,0
103735745,9,21,4,1,19,2,9320,8801,0
34505203,8,9,6,1,18,2,8582,9320,0
86799300,2,98,7,2,15,2,14732,11726,0
134556694,15,75,5,1,13,2,11396,10360,1
132851371,12,109,9,1,184,2,26307,27343,1
106573901,14,49,2,3,32,2,19943,15725,1
92423451,14,33,4,2,55,2,20239,18056,1
159020918,15,18,2,3,25,2,15725,12358,1
86727555,7,112,4,1,7,2,13320,13246,0
97590558,10,6,2,3,184,2,20461,17575,0
103735745,8,21,5,3,15,2,16798,14615,0
34505203,8,78,3,1,10,2,14800,13024,0
86799300,5,15,3,2,61,2,18796,16539,0
134556694,7,6,3,1,85,2,20904,18133,1
132851371,12,9,10,3,115,2,29095,28932,1
106573901,16,74,7,2,79,2,27384,24898,1
92423451,12,78,5,1,12,2,19519,14384,1
159020918,15,3,4,3,29,2,13610,11450,1
100471531,5,112,0,3,3,2,9780,9494,0
154715080,3,113,1,2,117,2,18622,26935,0
102099826,8,19,6,1,19,2,11573,10228,0
101450083,7,63,6,1,87,2,26976,20130,0
84772440,6,29,3,3,32,2,17970,11980,0
100471531,3,84,5,2,1,2,5216,5737,0
154715080,3,74,0,2,17,2,11874,10432,0
102099826,5,7,0,2,6,2,7179,5891,0
101450083,2,109,0,1,122,2,10923,13347,0
84772440,1,61,2,3,139,2,13899,12979,0
134556694,4,3,0,2,0,2,8591,6105,1
132851371,5,10,6,2,58,2,19668,19269,1
106573901,8,114,3,3,19,2,17489,15004,1
92423451,13,110,8,1,91,2,18931,17734,1
159020918,11,96,5,1,4,2,12549,11567,1
134556694,16,50,1,1,7,2,13570,9969,1
132851371,11,109,11,1,107,2,22084,30707,1
106573901,18,92,6,2,54,2,22739,17682,1
92423451,14,110,5,3,42,2,17645,17500,1
159020918,18,7,3,2,8,2,14080,11315,1
86726887,6,27,4,2,14,2,13498,10951,0
